vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score
V0321,V0394,3,16,41,0.262,11.433,0.0019777341455102784,2.704
V0224,V0437,4,42,33,0.554,7.215,0.0019791220227653675,2.704
V0246,V0332,3,13,51,0.265,11.312,0.00198118652507689,2.703
V0069,V0073,3,15,44,0.264,11.364,0.0019975279807838706,2.7
V0132,V0322,5,58,40,0.928,5.388,0.001995117170963239,2.7
V0158,V0230,4,34,41,0.558,7.174,0.0020242135550057375,2.694
V0276,V0319,4,41,34,0.558,7.174,0.0020242135550057375,2.694
V0093,V0276,4,34,41,0.558,7.174,0.0020242135550057375,2.694
V0123,V0364,4,45,31,0.558,7.168,0.002022420275526449,2.694
V0219,V0364,4,45,31,0.558,7.168,0.002022420275526449,2.694
V0363,V0451,4,45,31,0.558,7.168,0.002022420275526449,2.694
V0119,V0538,4,64,22,0.563,7.102,0.0020211846140348426,2.694
V0015,V0309,3,12,56,0.269,11.161,0.0020302100487284676,2.692
V0236,V0419,3,12,56,0.269,11.161,0.0020302100487284676,2.692
V0074,V0368,4,28,50,0.56,7.143,0.002035888313559741,2.691
V0008,V0259,3,17,39,0.265,11.312,0.002052766194857144,2.688
V0007,V0097,3,39,17,0.265,11.312,0.002052766194857144,2.688
V0200,V0420,3,30,22,0.264,11.364,0.0020599224464058785,2.686
V0062,V0433,4,40,35,0.56,7.143,0.0020584933863191275,2.686
V0040,V0424,4,35,40,0.56,7.143,0.0020584933863191275,2.686
V0011,V0433,4,40,35,0.56,7.143,0.0020584933863191275,2.686
V0281,V0310,4,40,35,0.56,7.143,0.0020584933863191275,2.686
V0062,V0162,4,40,35,0.56,7.143,0.0020584933863191275,2.686
V0007,V0122,4,39,36,0.562,7.123,0.0020815675197317094,2.682
V0080,V0495,4,39,36,0.562,7.123,0.0020815675197317094,2.682
V0153,V0342,4,36,39,0.562,7.123,0.0020815675197317094,2.682
V0172,V0372,3,48,14,0.269,11.161,0.002084911080679837,2.681
V0251,V0387,3,19,35,0.266,11.278,0.002089998999718764,2.68
V0213,V0317,3,19,35,0.266,11.278,0.002089998999718764,2.68
V0258,V0456,3,37,18,0.266,11.261,0.0020906109171940673,2.68
V0061,V0174,3,37,18,0.266,11.261,0.0020906109171940673,2.68
V0174,V0417,3,18,37,0.266,11.261,0.0020906109171940673,2.68
V0060,V0370,3,18,37,0.266,11.261,0.0020906109171940673,2.68
V0258,V0465,3,37,18,0.266,11.261,0.0020906109171940673,2.68
V0060,V0249,3,18,37,0.266,11.261,0.0020906109171940673,2.68
V0145,V0472,3,18,37,0.266,11.261,0.0020906109171940673,2.68
V0201,V0249,4,38,37,0.562,7.112,0.0020931711202438158,2.679
V0352,V0370,4,38,37,0.562,7.112,0.0020931711202438158,2.679
V0258,V0291,4,37,38,0.562,7.112,0.0020931711202438158,2.679
V0120,V0516,4,44,32,0.563,7.102,0.002097170628895832,2.678
V0020,V0354,4,85,17,0.578,6.92,0.0021118794675503,2.675
V0485,V0507,3,42,16,0.269,11.161,0.002121535118551722,2.673
V0194,V0224,3,16,42,0.269,11.161,0.002121535118551722,2.673
V0195,V0309,5,42,56,0.941,5.315,0.0021274274102640843,2.672
V0134,V0338,3,15,45,0.27,11.111,0.002132471968256018,2.671
V0123,V0203,3,45,15,0.27,11.111,0.002132471968256018,2.671
V0136,V0141,3,24,28,0.269,11.161,0.0021767010205299355,2.662
V0313,V0400,3,28,24,0.269,11.161,0.0021767010205299355,2.662
V0141,V0378,3,28,24,0.269,11.161,0.0021767010205299355,2.662
V0141,V0164,3,28,24,0.269,11.161,0.0021767010205299355,2.662
V0298,V0513,5,43,55,0.946,5.285,0.0021829601107776417,2.661
V0231,V0513,4,26,55,0.572,6.993,0.0021884099074536982,2.66
V0313,V0332,4,28,51,0.571,7.003,0.0021921697398292242,2.659
V0197,V0303,3,25,27,0.27,11.111,0.0022065217593470773,2.656
V0197,V0422,3,25,27,0.27,11.111,0.0022065217593470773,2.656
V0081,V0376,3,25,27,0.27,11.111,0.0022065217593470773,2.656
V0159,V0357,3,40,17,0.272,11.029,0.0022098649188888484,2.656
V0008,V0011,3,17,40,0.272,11.029,0.0022098649188888484,2.656
V0064,V0358,3,40,17,0.272,11.029,0.0022098649188888484,2.656
V0056,V0256,3,17,40,0.272,11.029,0.0022098649188888484,2.656
V0140,V0178,3,14,49,0.274,10.933,0.0022135153690717646,2.655
V0144,V0336,5,68,35,0.952,5.252,0.0022121429868462404,2.655
V0004,V0468,3,26,26,0.27,11.095,0.002216517948709133,2.654
V0158,V0212,4,34,42,0.571,7.003,0.0022158525670273104,2.654
V0228,V0328,3,34,20,0.272,11.029,0.002237993497890119,2.65
V0092,V0523,3,20,34,0.272,11.029,0.002237993497890119,2.65
V0092,V0319,3,20,34,0.272,11.029,0.002237993497890119,2.65
V0211,V0319,3,20,34,0.272,11.029,0.002237993497890119,2.65
V0138,V0201,3,18,38,0.274,10.965,0.0022595767519770155,2.646
V0145,V0245,3,18,38,0.274,10.965,0.0022595767519770155,2.646
V0174,V0344,3,18,38,0.274,10.965,0.0022595767519770155,2.646
V0394,V0433,4,41,35,0.574,6.969,0.0022584590689805678,2.646
V0276,V0310,4,41,35,0.574,6.969,0.0022584590689805678,2.646
V0182,V0247,4,35,41,0.574,6.969,0.0022584590689805678,2.646
V0242,V0310,4,41,35,0.574,6.969,0.0022584590689805678,2.646
V0162,V0394,4,35,41,0.574,6.969,0.0022584590689805678,2.646
V0114,V0191,3,31,22,0.273,10.997,0.0022676394084306566,2.644
V0114,V0339,3,31,22,0.273,10.997,0.0022676394084306566,2.644
V0232,V0469,3,22,31,0.273,10.997,0.0022676394084306566,2.644
V0078,V0251,3,36,19,0.274,10.965,0.0022690460529923217,2.644
V0280,V0473,3,36,19,0.274,10.965,0.0022690460529923217,2.644
V0107,V0209,3,19,36,0.274,10.965,0.0022690460529923217,2.644
V0078,V0216,3,36,19,0.274,10.965,0.0022690460529923217,2.644
V0194,V0531,3,16,43,0.275,10.901,0.002271727570968584,2.644
V0123,V0379,5,45,53,0.954,5.241,0.0022704423892550892,2.644
V0384,V0502,5,45,53,0.954,5.241,0.0022704423892550892,2.644
V0028,V0537,4,45,32,0.576,6.944,0.002281171498728162,2.642
V0153,V0159,4,36,40,0.576,6.944,0.002289234720444942,2.64
V0153,V0359,4,36,40,0.576,6.944,0.002289234720444942,2.64
V0209,V0281,4,36,40,0.576,6.944,0.002289234720444942,2.64
V0078,V0320,4,36,40,0.576,6.944,0.002289234720444942,2.64
V0280,V0413,4,36,40,0.576,6.944,0.002289234720444942,2.64
V0209,V0256,4,36,40,0.576,6.944,0.002289234720444942,2.64
V0072,V0081,4,58,25,0.58,6.897,0.0022944547842647348,2.639
V0220,V0297,4,37,39,0.577,6.93,0.0023078377297178067,2.637
V0220,V0342,4,37,39,0.577,6.93,0.0023078377297178067,2.637
V0133,V0297,4,37,39,0.577,6.93,0.0023078377297178067,2.637
V0043,V0071,5,51,47,0.959,5.215,0.0023241379759363894,2.634
V0129,V0215,5,47,51,0.959,5.215,0.0023241379759363894,2.634
V0129,V0396,5,47,51,0.959,5.215,0.0023241379759363894,2.634
V0024,V0043,5,47,51,0.959,5.215,0.0023241379759363894,2.634
V0016,V0288,4,50,29,0.58,6.897,0.002327082589205872,2.633
V0065,V0419,4,26,56,0.582,6.868,0.0023401155539588357,2.631
V0356,V0410,3,23,30,0.276,10.87,0.0023497873595139016,2.629
V0019,V0410,3,23,30,0.276,10.87,0.0023497873595139016,2.629
V0368,V0480,3,50,14,0.28,10.714,0.0023469904484587183,2.629
V0307,V0543,3,50,14,0.28,10.714,0.0023469904484587183,2.629
V0127,V0309,5,43,56,0.963,5.191,0.002366645197091716,2.626
V0254,V0309,5,43,56,0.963,5.191,0.002366645197091716,2.626
V0293,V0521,3,41,17,0.279,10.76,0.0023742908833653356,2.624
V0308,V0545,3,41,17,0.279,10.76,0.0023742908833653356,2.624
V0070,V0293,3,17,41,0.279,10.76,0.0023742908833653356,2.624
V0346,V0357,3,41,17,0.279,10.76,0.0023742908833653356,2.624
V0119,V0431,4,64,23,0.589,6.793,0.0024000896313676567,2.62
V0142,V0337,3,29,24,0.278,10.776,0.002412589473644424,2.618
V0271,V0415,3,24,29,0.278,10.776,0.002412589473644424,2.618
V0397,V0532,3,24,29,0.278,10.776,0.002412589473644424,2.618
V0142,V0397,3,29,24,0.278,10.776,0.002412589473644424,2.618
V0403,V0454,4,34,43,0.585,6.84,0.0024197141585850907,2.616
V0093,V0127,4,34,43,0.585,6.84,0.0024197141585850907,2.616
V0120,V0483,5,44,55,0.968,5.165,0.0024219905297577773,2.616
V0023,V0321,3,44,16,0.282,10.653,0.002428413051074134,2.615
V0023,V0461,3,44,16,0.282,10.653,0.002428413051074134,2.615
V0328,V0458,3,20,35,0.28,10.714,0.0024353194954519273,2.613
V0092,V0310,3,20,35,0.28,10.714,0.0024353194954519273,2.613
V0370,V0473,3,37,19,0.281,10.669,0.0024573942518904815,2.61
V0220,V0251,3,37,19,0.281,10.669,0.0024573942518904815,2.61
V0061,V0213,3,37,19,0.281,10.669,0.0024573942518904815,2.61
V0146,V0258,3,19,37,0.281,10.669,0.0024573942518904815,2.61
V0216,V0220,3,19,37,0.281,10.669,0.0024573942518904815,2.61
V0063,V0178,4,30,49,0.588,6.803,0.002454581499238026,2.61
V0433,V0485,4,35,42,0.588,6.803,0.0024714915787468496,2.607
V0182,V0212,4,35,42,0.588,6.803,0.0024714915787468496,2.607
V0270,V0362,3,27,26,0.281,10.684,0.002476418872122613,2.606
V0262,V0329,3,26,27,0.281,10.684,0.002476418872122613,2.606
V0329,V0395,3,27,26,0.281,10.684,0.002476418872122613,2.606
V0014,V0059,4,46,32,0.589,6.793,0.002476066804699822,2.606
V0396,V0479,3,51,14,0.286,10.504,0.0024854027437923834,2.605
V0002,V0082,3,22,32,0.282,10.653,0.0024879729689365414,2.604
V0273,V0516,3,22,32,0.282,10.653,0.0024879729689365414,2.604
V0332,V0415,4,51,29,0.592,6.761,0.0025049222542932736,2.601
V0051,V0391,4,51,29,0.592,6.761,0.0025049222542932736,2.601
V0153,V0381,4,36,41,0.59,6.775,0.0025108194109884395,2.6
V0230,V0488,4,41,36,0.59,6.775,0.0025108194109884395,2.6
V0293,V0383,4,41,36,0.59,6.775,0.0025108194109884395,2.6
V0483,V0489,4,55,27,0.594,6.734,0.002527376128266028,2.597
V0061,V0424,4,37,40,0.592,6.757,0.002537274844083141,2.596
V0220,V0426,4,37,40,0.592,6.757,0.002537274844083141,2.596
V0256,V0533,4,40,37,0.592,6.757,0.002537274844083141,2.596
V0062,V0258,4,40,37,0.592,6.757,0.002537274844083141,2.596
V0370,V0413,4,37,40,0.592,6.757,0.002537274844083141,2.596
V0274,V0413,4,37,40,0.592,6.757,0.002537274844083141,2.596
V0003,V0533,4,40,37,0.592,6.757,0.002537274844083141,2.596
V0056,V0509,3,17,42,0.286,10.504,0.0025461648034385926,2.594
V0067,V0224,3,17,42,0.286,10.504,0.0025461648034385926,2.594
V0088,V0342,4,38,39,0.593,6.748,0.002550573878655151,2.593
V0259,V0291,4,39,38,0.593,6.748,0.002550573878655151,2.593
V0043,V0547,5,51,48,0.979,5.106,0.0025547705418689365,2.593
V0172,V0332,5,48,51,0.979,5.106,0.0025547705418689365,2.593
V0042,V0368,5,49,50,0.98,5.102,0.002564452075723368,2.591
V0250,V0547,3,15,48,0.288,10.417,0.0025711518589146966,2.59
V0019,V0114,3,23,31,0.285,10.519,0.002585962718878233,2.587
V0321,V0338,3,16,45,0.288,10.417,0.0025916908898703348,2.586
V0085,V0384,3,16,45,0.288,10.417,0.0025916908898703348,2.586
V0338,V0482,3,45,16,0.288,10.417,0.0025916908898703348,2.586
V0338,V0497,3,45,16,0.288,10.417,0.0025916908898703348,2.586
V0085,V0338,3,16,45,0.288,10.417,0.0025916908898703348,2.586
V0039,V0361,3,56,13,0.291,10.302,0.0025975536237896556,2.585
V0010,V0262,5,96,26,0.998,5.008,0.0026045918390174352,2.584
V0060,V0281,3,18,40,0.288,10.417,0.0026225522368982994,2.581
V0174,V0424,3,18,40,0.288,10.417,0.0026225522368982994,2.581
V0064,V0487,3,40,18,0.288,10.417,0.0026225522368982994,2.581
V0011,V0539,3,40,18,0.288,10.417,0.0026225522368982994,2.581
V0359,V0418,3,40,18,0.288,10.417,0.0026225522368982994,2.581
V0044,V0073,4,34,44,0.598,6.684,0.002636189530548476,2.579
V0044,V0304,4,34,44,0.598,6.684,0.002636189530548476,2.579
V0044,V0120,4,34,44,0.598,6.684,0.002636189530548476,2.579
V0280,V0412,3,36,20,0.288,10.417,0.0026431612985264325,2.578
V0211,V0301,3,20,36,0.288,10.417,0.0026431612985264325,2.578
V0117,V0301,3,20,36,0.288,10.417,0.0026431612985264325,2.578
V0284,V0301,3,20,36,0.288,10.417,0.0026431612985264325,2.578
V0122,V0546,3,36,20,0.288,10.417,0.0026431612985264325,2.578
V0200,V0307,4,30,50,0.6,6.667,0.0026458298642862534,2.577
V0368,V0410,4,50,30,0.6,6.667,0.0026458298642862534,2.577
V0146,V0291,3,19,38,0.289,10.388,0.0026552117518039487,2.576
V0291,V0369,3,38,19,0.289,10.388,0.0026552117518039487,2.576
V0217,V0245,3,19,38,0.289,10.388,0.0026552117518039487,2.576
V0213,V0291,3,19,38,0.289,10.388,0.0026552117518039487,2.576
V0063,V0302,3,30,24,0.288,10.417,0.002663797930166517,2.574
V0200,V0475,3,30,24,0.288,10.417,0.002663797930166517,2.574
V0271,V0410,3,24,30,0.288,10.417,0.002663797930166517,2.574
V0400,V0410,3,24,30,0.288,10.417,0.002663797930166517,2.574
V0050,V0338,5,55,45,0.99,5.051,0.0026795711107320533,2.572
V0254,V0310,4,43,35,0.602,6.645,0.0026980177919545467,2.569
V0303,V0419,4,27,56,0.605,6.614,0.002701722180207208,2.568
V0152,V0494,3,25,29,0.29,10.345,0.002720268181857534,2.565
V0197,V0532,3,25,29,0.29,10.345,0.002720268181857534,2.565
V0142,V0360,3,29,25,0.29,10.345,0.002720268181857534,2.565
V0339,V0437,3,22,33,0.29,10.331,0.0027211861033196484,2.565
V0029,V0373,3,33,22,0.29,10.331,0.0027211861033196484,2.565
V0008,V0454,3,17,43,0.292,10.26,0.0027256045323612913,2.565
V0357,V0531,3,17,43,0.292,10.26,0.0027256045323612913,2.565
V0097,V0127,3,17,43,0.292,10.26,0.0027256045323612913,2.565
V0097,V0298,3,17,43,0.292,10.26,0.0027256045323612913,2.565
V0112,V0263,3,15,49,0.294,10.204,0.0027289326632571674,2.564
V0042,V0069,3,49,15,0.294,10.204,0.0027289326632571674,2.564
V0195,V0301,4,42,36,0.605,6.614,0.002746786404437979,2.561
V0209,V0509,4,36,42,0.605,6.614,0.002746786404437979,2.561
V0150,V0436,3,26,28,0.291,10.302,0.0027545012996810724,2.56
V0313,V0429,3,28,26,0.291,10.302,0.0027545012996810724,2.56
V0429,V0517,3,26,28,0.291,10.302,0.0027545012996810724,2.56
V0362,V0436,3,26,28,0.291,10.302,0.0027545012996810724,2.56
V0313,V0496,3,28,26,0.291,10.302,0.0027545012996810724,2.56
V0248,V0461,3,46,16,0.294,10.19,0.0027616582247380907,2.559
V0113,V0233,3,46,16,0.294,10.19,0.0027616582247380907,2.559
V0275,V0282,3,46,16,0.294,10.19,0.0027616582247380907,2.559
V0130,V0376,3,27,27,0.292,10.288,0.0027659709821300526,2.558
V0289,V0376,3,27,27,0.292,10.288,0.0027659709821300526,2.558
V0072,V0121,5,58,43,0.998,5.012,0.002767562833754822,2.558
V0127,V0132,5,43,58,0.998,5.012,0.002767562833754822,2.558
V0132,V0254,5,58,43,0.998,5.012,0.002767562833754822,2.558
V0061,V0293,4,37,41,0.607,6.592,0.002781987600209119,2.556
V0220,V0346,4,37,41,0.607,6.592,0.002781987600209119,2.556
V0242,V0274,4,41,37,0.607,6.592,0.002781987600209119,2.556
V0230,V0533,4,41,37,0.607,6.592,0.002781987600209119,2.556
V0178,V0396,5,49,51,1.0,5.002,0.002801649655156958,2.553
V0352,V0413,4,38,40,0.608,6.579,0.002803255535523356,2.552
V0003,V0245,4,40,38,0.608,6.579,0.002803255535523356,2.552
V0011,V0291,4,40,38,0.608,6.579,0.002803255535523356,2.552
V0256,V0291,4,40,38,0.608,6.579,0.002803255535523356,2.552
V0062,V0344,4,40,38,0.608,6.579,0.002803255535523356,2.552
V0088,V0426,4,38,40,0.608,6.579,0.002803255535523356,2.552
V0344,V0424,4,38,40,0.608,6.579,0.002803255535523356,2.552
V0016,V0244,5,50,50,1.0,5.0,0.0028068217860653206,2.552
V0336,V0365,3,35,21,0.294,10.204,0.0028140581036753963,2.551
V0162,V0501,3,35,21,0.294,10.204,0.0028140581036753963,2.551
V0308,V0539,3,41,18,0.295,10.163,0.0028168437309675754,2.55
V0308,V0456,3,41,18,0.295,10.163,0.0028168437309675754,2.55
V0138,V0242,3,18,41,0.295,10.163,0.0028168437309675754,2.55
V0060,V0242,3,18,41,0.295,10.163,0.0028168437309675754,2.55
V0119,V0475,4,64,24,0.614,6.51,0.0028252755178946745,2.549
V0022,V0481,4,24,64,0.614,6.51,0.0028252755178946745,2.549
V0390,V0453,3,23,32,0.294,10.19,0.0028363809687292213,2.547
V0214,V0258,3,20,37,0.296,10.135,0.0028617107651569625,2.543
V0211,V0370,3,20,37,0.296,10.135,0.0028617107651569625,2.543
V0274,V0541,3,37,20,0.296,10.135,0.0028617107651569625,2.543
V0334,V0417,3,20,37,0.296,10.135,0.0028617107651569625,2.543
V0297,V0389,3,39,19,0.296,10.121,0.002862662119413354,2.543
V0213,V0259,3,19,39,0.296,10.121,0.002862662119413354,2.543
V0007,V0388,3,39,19,0.296,10.121,0.002862662119413354,2.543
V0219,V0319,4,45,34,0.612,6.536,0.0028656668395265835,2.543
V0021,V0368,3,15,50,0.3,10.0,0.002892622183885073,2.539
V0034,V0179,4,53,29,0.615,6.506,0.0028883973837401556,2.539
V0516,V0547,4,32,48,0.614,6.51,0.0028998344263938755,2.538
V0073,V0357,3,44,17,0.299,10.027,0.0029127250946532042,2.536
V0302,V0414,3,24,31,0.298,10.081,0.002930661511726352,2.533
V0302,V0451,3,24,31,0.298,10.081,0.002930661511726352,2.533
V0005,V0377,3,31,24,0.298,10.081,0.002930661511726352,2.533
V0135,V0166,3,24,31,0.298,10.081,0.002930661511726352,2.533
V0005,V0397,3,31,24,0.298,10.081,0.002930661511726352,2.533
V0129,V0321,3,47,16,0.301,9.973,0.002938410022942884,2.532
V0098,V0129,3,16,47,0.301,9.973,0.002938410022942884,2.532
V0053,V0317,4,44,35,0.616,6.494,0.0029384610307559376,2.532
V0053,V0458,4,44,35,0.616,6.494,0.0029384610307559376,2.532
V0023,V0336,4,44,35,0.616,6.494,0.0029384610307559376,2.532
V0044,V0299,3,34,22,0.299,10.027,0.002967533238379926,2.528
V0158,V0373,3,34,22,0.299,10.027,0.002967533238379926,2.528
V0087,V0403,3,22,34,0.299,10.027,0.002967533238379926,2.528
V0161,V0373,3,34,22,0.299,10.027,0.002967533238379926,2.528
V0277,V0514,4,71,22,0.625,6.402,0.0029675958136373194,2.528
V0368,V0371,4,50,31,0.62,6.452,0.002993397743186319,2.524
V0122,V0127,4,36,43,0.619,6.46,0.002997596411495629,2.523
V0455,V0488,4,43,36,0.619,6.46,0.002997596411495629,2.523
V0078,V0531,4,36,43,0.619,6.46,0.002997596411495629,2.523
V0144,V0549,4,68,23,0.626,6.394,0.003001756431310289,2.523
V0033,V0200,3,25,30,0.3,10.0,0.0030026194403126134,2.522
V0212,V0418,3,42,18,0.302,9.921,0.0030198529266143126,2.52
V0174,V0509,3,18,42,0.302,9.921,0.0030198529266143126,2.52
V0133,V0224,4,37,42,0.622,6.435,0.003042476448915552,2.517
V0061,V0485,4,37,42,0.622,6.435,0.003042476448915552,2.517
V0065,V0530,3,26,29,0.302,9.947,0.003051188320818404,2.516
V0402,V0484,3,29,26,0.302,9.947,0.003051188320818404,2.516
V0231,V0494,3,26,29,0.302,9.947,0.003051188320818404,2.516
V0179,V0367,3,29,26,0.302,9.947,0.003051188320818404,2.516
V0383,V0501,3,36,21,0.302,9.921,0.0030533136308839443,2.515
V0043,V0393,3,51,15,0.306,9.804,0.00306229695059036,2.514
V0016,V0327,5,50,51,1.02,4.902,0.0030654283314834182,2.514
V0074,V0130,3,28,27,0.302,9.921,0.003075652408252526,2.512
V0141,V0329,3,28,27,0.302,9.921,0.003075652408252526,2.512
V0345,V0526,3,27,28,0.302,9.921,0.003075652408252526,2.512
V0308,V0344,4,41,38,0.623,6.418,0.003072649382837031,2.512
V0088,V0247,4,38,41,0.623,6.418,0.003072649382837031,2.512
V0369,V0407,3,19,40,0.304,9.868,0.003079904394069833,2.511
V0159,V0251,3,40,19,0.304,9.868,0.003079904394069833,2.511
V0426,V0427,3,40,19,0.304,9.868,0.003079904394069833,2.511
V0216,V0359,3,19,40,0.304,9.868,0.003079904394069833,2.511
V0281,V0473,3,40,19,0.304,9.868,0.003079904394069833,2.511
V0413,V0473,3,40,19,0.304,9.868,0.003079904394069833,2.511
V0388,V0413,3,19,40,0.304,9.868,0.003079904394069833,2.511
V0214,V0434,3,20,38,0.304,9.868,0.00309115411332698,2.51
V0269,V0322,4,39,40,0.624,6.41,0.003087811970274321,2.51
V0159,V0342,4,40,39,0.624,6.41,0.003087811970274321,2.51
V0356,V0470,3,23,33,0.304,9.881,0.003101329159171239,2.508
V0019,V0054,3,23,33,0.304,9.881,0.003101329159171239,2.508
V0070,V0384,3,17,45,0.306,9.804,0.003107638718985662,2.508
V0306,V0363,3,17,45,0.306,9.804,0.003107638718985662,2.508
V0123,V0176,3,45,17,0.306,9.804,0.003107638718985662,2.508
V0070,V0223,3,17,45,0.306,9.804,0.003107638718985662,2.508
V0187,V0248,4,34,46,0.626,6.394,0.0031085308812513054,2.507
V0014,V0523,4,46,34,0.626,6.394,0.0031085308812513054,2.507
V0014,V0093,4,46,34,0.626,6.394,0.0031085308812513054,2.507
V0014,V0319,4,46,34,0.626,6.394,0.0031085308812513054,2.507
V0401,V0547,3,16,48,0.307,9.766,0.003122039104956977,2.506
V0042,V0516,4,49,32,0.627,6.378,0.0031293474016891153,2.505
V0040,V0384,4,35,45,0.63,6.349,0.0031932407000586725,2.496
V0027,V0302,3,32,24,0.307,9.766,0.0032135031407177447,2.493
V0082,V0135,3,32,24,0.307,9.766,0.0032135031407177447,2.493
V0397,V0453,3,24,32,0.307,9.766,0.0032135031407177447,2.493
V0144,V0291,5,68,38,1.034,4.837,0.0032110841778441954,2.493
V0327,V0364,4,51,31,0.632,6.325,0.00322011824763982,2.492
V0299,V0387,3,22,35,0.308,9.74,0.003227260389418361,2.491
V0386,V0387,3,22,35,0.308,9.74,0.003227260389418361,2.491
V0418,V0531,3,18,43,0.31,9.69,0.0032317117704764886,2.491
V0437,V0547,4,33,48,0.634,6.313,0.0032536663955169526,2.488
V0172,V0437,4,48,33,0.634,6.313,0.0032536663955169526,2.488
V0054,V0547,4,33,48,0.634,6.313,0.0032536663955169526,2.488
V0024,V0483,5,47,55,1.034,4.836,0.003253672335721778,2.488
V0129,V0513,5,47,55,1.034,4.836,0.003253672335721778,2.488
V0023,V0383,4,44,36,0.634,6.313,0.0032637056248242466,2.486
V0005,V0360,3,31,25,0.31,9.677,0.003302444142755371,2.481
V0061,V0501,3,37,21,0.311,9.653,0.0033047923921506075,2.481
V0417,V0501,3,37,21,0.311,9.653,0.0033047923921506075,2.481
V0258,V0365,3,37,21,0.311,9.653,0.0033047923921506075,2.481
V0220,V0279,3,37,21,0.311,9.653,0.0033047923921506075,2.481
V0388,V0504,3,19,41,0.312,9.628,0.003307093148567237,2.481
V0216,V0346,3,19,41,0.312,9.628,0.003307093148567237,2.481
V0251,V0346,3,19,41,0.312,9.628,0.003307093148567237,2.481
V0242,V0473,3,41,19,0.312,9.628,0.003307093148567237,2.481
V0346,V0427,3,41,19,0.312,9.628,0.003307093148567237,2.481
V0213,V0293,3,19,41,0.312,9.628,0.003307093148567237,2.481
V0276,V0388,3,41,19,0.312,9.628,0.003307093148567237,2.481
V0010,V0341,4,96,17,0.653,6.127,0.003307367136880288,2.481
V0067,V0421,3,17,46,0.313,9.591,0.0033104548707859624,2.48
V0275,V0375,3,46,17,0.313,9.591,0.0033104548707859624,2.48
V0047,V0349,4,55,29,0.638,6.27,0.003310508683866554,2.48
V0417,V0454,4,37,43,0.636,6.285,0.0033192366796717474,2.479
V0258,V0454,4,37,43,0.636,6.285,0.0033192366796717474,2.479
V0127,V0274,4,43,37,0.636,6.285,0.0033192366796717474,2.479
V0188,V0274,4,43,37,0.636,6.285,0.0033192366796717474,2.479
V0007,V0211,3,39,20,0.312,9.615,0.003331672001657112,2.477
V0088,V0224,4,38,42,0.638,6.266,0.0033592922550910722,2.474
V0195,V0352,4,42,38,0.638,6.266,0.0033592922550910722,2.474
V0344,V0509,4,38,42,0.638,6.266,0.0033592922550910722,2.474
V0429,V0478,3,26,30,0.312,9.615,0.0033668860441060443,2.473
V0200,V0262,3,30,26,0.312,9.615,0.0033668860441060443,2.473
V0478,V0496,3,30,26,0.312,9.615,0.0033668860441060443,2.473
V0366,V0496,3,30,26,0.312,9.615,0.0033668860441060443,2.473
V0100,V0366,3,26,30,0.312,9.615,0.0033668860441060443,2.473
V0228,V0340,4,34,47,0.639,6.258,0.0033651627884220695,2.473
V0129,V0403,4,47,34,0.639,6.258,0.0033651627884220695,2.473
V0016,V0059,4,50,32,0.64,6.25,0.003371035683471867,2.472
V0151,V0523,3,23,34,0.313,9.591,0.0033810842662803497,2.471
V0342,V0346,4,39,41,0.64,6.254,0.003383482425301486,2.471
V0007,V0242,4,39,41,0.64,6.254,0.003383482425301486,2.471
V0342,V0525,4,39,41,0.64,6.254,0.003383482425301486,2.471
V0297,V0346,4,39,41,0.64,6.254,0.003383482425301486,2.471
V0320,V0426,4,40,40,0.64,6.25,0.0033915720138041924,2.47
V0320,V0359,4,40,40,0.64,6.25,0.0033915720138041924,2.47
V0281,V0413,4,40,40,0.64,6.25,0.0033915720138041924,2.47
V0123,V0132,5,45,58,1.044,4.789,0.003390463069393418,2.47
V0326,V0530,3,27,29,0.313,9.579,0.0034059175886131617,2.468
V0142,V0326,3,29,27,0.313,9.579,0.0034059175886131617,2.468
V0422,V0532,3,27,29,0.313,9.579,0.0034059175886131617,2.468
V0422,V0530,3,27,29,0.313,9.579,0.0034059175886131617,2.468
V0001,V0065,4,62,26,0.645,6.203,0.0034063220627367917,2.468
V0385,V0526,3,28,28,0.314,9.566,0.003418989305496987,2.466
V0074,V0517,3,28,28,0.314,9.566,0.003418989305496987,2.466
V0120,V0487,3,44,18,0.317,9.47,0.003452548699892608,2.462
V0091,V0386,4,74,22,0.651,6.143,0.0034534982943396713,2.462
V0091,V0373,4,74,22,0.651,6.143,0.0034534982943396713,2.462
V0248,V0433,4,46,35,0.644,6.211,0.003462771941718476,2.461
V0052,V0169,4,46,35,0.644,6.211,0.003462771941718476,2.461
V0169,V0275,4,35,46,0.644,6.211,0.003462771941718476,2.461
V0052,V0458,4,46,35,0.644,6.211,0.003462771941718476,2.461
V0076,V0280,3,22,36,0.317,9.47,0.0035006052956867303,2.456
V0278,V0280,3,22,36,0.317,9.47,0.0035006052956867303,2.456
V0002,V0301,3,22,36,0.317,9.47,0.0035006052956867303,2.456
V0383,V0514,3,36,22,0.317,9.47,0.0035006052956867303,2.456
V0089,V0368,3,16,50,0.32,9.375,0.0035102898069942446,2.455
V0368,V0544,3,50,16,0.32,9.375,0.0035102898069942446,2.455
V0016,V0347,3,50,16,0.32,9.375,0.0035102898069942446,2.455
