vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score,dominant_category,category_share,dominant_region,region_share,context_concentration,contextual_adjustment,contextual_enrichment
V0380,V0472,3,28,37,0.414,7.239,0.007580367097097961,2.12,CIVIL_MAINTENANCE,0.625,KA-CENTRAL,0.625,0.625,0.719,5.203
V0042,V0130,4,49,27,0.529,7.559,0.0016413895383879105,2.785,ROAD_CONSTRUCTION,0.78,KA-NORTH,0.561,0.693,0.688,5.203
V0120,V0516,4,44,32,0.563,7.102,0.002097170628895832,2.678,WATER_INFRASTRUCTURE,0.5,KA-CENTRAL,0.735,0.594,0.733,5.203
V0092,V0132,4,20,58,0.464,8.621,0.0009582875587527489,3.019,FURNITURE,1.0,KA-CENTRAL,0.704,0.881,0.603,5.201
V0387,V0437,4,35,33,0.462,8.658,0.000988185316936005,3.005,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.719,0.888,0.601,5.2
V0011,V0403,4,40,34,0.544,7.353,0.0018444032088699212,2.734,ELECTRICAL_EQUIPMENT,0.519,KA-SOUTH,0.852,0.652,0.707,5.196
V0010,V0184,20,96,63,2.419,8.267,2.335253265378575e-14,13.632,LAB_EQUIPMENT,1.0,KA-NORTH,0.564,0.826,0.628,5.195
V0011,V0394,5,40,41,0.656,7.622,0.000398424267802531,3.4,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.27,0.708,0.681,5.193
V0317,V0495,4,35,36,0.504,7.937,0.0013806588441989205,2.86,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.421,0.768,0.654,5.192
V0154,V0322,3,24,40,0.384,7.812,0.0060863406985948295,2.216,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.364,0.745,0.665,5.191
V0113,V0460,6,46,42,0.773,7.764,8.853147252485052e-05,4.053,LAB_EQUIPMENT,0.667,KA-NORTH,0.843,0.737,0.668,5.188
V0144,V0277,15,68,71,1.931,7.767,1.8999203869732293e-10,9.721,LAB_EQUIPMENT,0.886,KA-CENTRAL,0.515,0.738,0.668,5.188
V0158,V0294,3,34,32,0.435,6.893,0.0087105809307619,2.06,VEHICLE_SUPPLIES,0.55,KA-CENTRAL,0.55,0.55,0.752,5.187
V0291,V0336,4,38,35,0.532,7.519,0.0016960395291556556,2.771,IT_SERVICES,0.69,KA-CENTRAL,0.69,0.69,0.69,5.186
V0259,V0424,5,39,40,0.624,8.013,0.0003133867314524133,3.504,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.462,0.785,0.647,5.184
V0132,V0278,4,58,22,0.51,7.837,0.0013975275976561242,2.855,FURNITURE,1.0,KA-CENTRAL,0.382,0.753,0.661,5.182
V0014,V0310,5,46,35,0.644,7.764,0.00036316266263072936,3.44,FURNITURE,0.833,KA-CENTRAL,0.6,0.74,0.667,5.179
V0061,V0215,6,37,51,0.755,7.949,7.661424640015155e-05,4.116,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.438,0.775,0.651,5.177
V0394,V0424,5,41,40,0.656,7.622,0.000398424267802531,3.4,ELECTRICAL_EQUIPMENT,0.865,KA-BENGALURU,0.486,0.714,0.679,5.175
V0338,V0501,3,45,21,0.378,7.937,0.005779780619217766,2.238,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.435,0.774,0.652,5.173
V0132,V0281,7,58,40,0.928,7.543,2.5706325413986262e-05,4.59,FURNITURE,0.887,KA-CENTRAL,0.415,0.698,0.686,5.173
V0198,V0309,4,21,56,0.47,8.503,0.0010182917502221842,2.992,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.679,0.871,0.608,5.169
V0039,V0548,4,56,19,0.426,9.398,0.000681866071691301,3.166,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,5.169
V0029,V0530,3,33,29,0.383,7.837,0.006062835060852044,2.217,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.393,0.757,0.659,5.167
V0241,V0451,3,34,31,0.422,7.116,0.007967452439316337,2.099,ELECTRICAL_EQUIPMENT,0.609,KA-CENTRAL,0.609,0.609,0.726,5.167
V0184,V0355,14,63,69,1.739,8.052,5.011764408656122e-10,9.3,LAB_EQUIPMENT,1.0,KA-NORTH,0.491,0.796,0.642,5.166
V0025,V0026,9,61,44,1.074,8.383,6.097603308574364e-07,6.215,LAB_EQUIPMENT,0.924,KA-CENTRAL,0.747,0.853,0.616,5.165
V0288,V0455,4,29,43,0.499,8.019,0.0013191731281456778,2.88,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.481,0.793,0.643,5.159
V0088,V0483,6,38,55,0.836,7.177,0.00013791553050443689,3.86,WATER_INFRASTRUCTURE,0.605,KA-CENTRAL,0.658,0.626,0.718,5.154
V0012,V0307,3,19,50,0.38,7.895,0.005822753515606725,2.235,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.429,0.771,0.653,5.154
V0093,V0468,3,34,26,0.354,8.484,0.004827330358750492,2.316,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.682,0.873,0.607,5.152
V0001,V0051,9,62,51,1.265,7.116,2.637294005918555e-06,5.579,CIVIL_MAINTENANCE,0.798,KA-CENTRAL,0.337,0.613,0.724,5.152
V0011,V0061,5,40,37,0.592,8.446,0.0002429037004298047,3.615,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.667,0.867,0.61,5.152
V0144,V0231,6,68,26,0.707,8.484,4.8620882854888613e-05,4.313,IT_SERVICES,1.0,KA-CENTRAL,0.683,0.873,0.607,5.15
V0277,V0539,4,71,18,0.511,7.825,0.0013528643036100337,2.869,IT_SERVICES,1.0,KA-NORTH,0.4,0.76,0.658,5.149
V0219,V0412,3,45,20,0.36,8.333,0.005016781019859728,2.3,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.625,0.85,0.617,5.146
V0127,V0242,5,43,41,0.705,7.09,0.0005621010966915574,3.25,BUILDING_CONSTRUCTION,0.619,KA-SOUTH,0.595,0.61,0.726,5.145
V0245,V0488,4,38,36,0.547,7.31,0.001887349330180352,2.724,VEHICLE_SUPPLIES,0.774,KA-NORTH,0.484,0.658,0.704,5.145
V0114,V0359,4,31,40,0.496,8.065,0.0012954923802323437,2.888,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.512,0.805,0.638,5.145
V0093,V0276,4,34,41,0.558,7.174,0.0020242135550057375,2.694,FURNITURE,0.559,KA-SOUTH,0.735,0.629,0.717,5.142
V0182,V0247,4,35,41,0.574,6.969,0.0022584590689805678,2.646,CIVIL_MAINTENANCE,0.6,KA-NORTH,0.56,0.584,0.737,5.138
V0322,V0451,4,40,31,0.496,8.065,0.0012954923802323437,2.888,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.516,0.806,0.637,5.138
V0269,V0504,5,39,41,0.64,7.817,0.0003528602612730504,3.452,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.405,0.762,0.657,5.136
V0080,V0405,3,39,25,0.39,7.692,0.00636902810688783,2.196,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.346,0.738,0.668,5.136
V0044,V0120,4,34,44,0.598,6.684,0.002636189530548476,2.579,ROAD_CONSTRUCTION,0.515,KA-SOUTH,0.515,0.515,0.768,5.135
V0078,V0531,4,36,43,0.619,6.46,0.002997596411495629,2.523,ROAD_CONSTRUCTION,0.52,TN-NORTH,0.36,0.456,0.795,5.134
V0230,V0326,3,41,27,0.443,6.775,0.00911464564506936,2.04,VEHICLE_SUPPLIES,0.538,KA-SOUTH,0.538,0.538,0.758,5.133
V0154,V0274,3,24,37,0.355,8.446,0.004877857542126124,2.312,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.68,0.872,0.608,5.132
V0195,V0254,6,42,43,0.722,8.306,5.982028383771397e-05,4.223,FURNITURE,1.0,KA-SOUTH,0.625,0.85,0.617,5.129
V0003,V0397,3,40,24,0.384,7.812,0.0060863406985948295,2.216,VEHICLE_SUPPLIES,1.0,AP-SOUTH,0.409,0.764,0.656,5.128
V0123,V0413,5,45,40,0.72,6.944,0.0006197335636830214,3.208,BUILDING_CONSTRUCTION,0.628,KA-NORTH,0.512,0.581,0.738,5.127
V0019,V0182,3,23,35,0.322,9.317,0.0036759133635991606,2.435,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,1.0,1.0,0.55,5.124
V0014,V0132,8,46,58,1.067,7.496,6.7344973570328404e-06,5.172,FURNITURE,0.917,KA-CENTRAL,0.383,0.703,0.684,5.124
V0200,V0469,3,30,31,0.372,8.065,0.005590001735718563,2.253,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.526,0.811,0.635,5.123
V0086,V0338,3,20,45,0.36,8.333,0.005016781019859728,2.3,IT_SERVICES,1.0,KA-NORTH,0.64,0.856,0.615,5.123
V0126,V0255,3,30,33,0.396,7.576,0.006676274415968079,2.175,WATER_INFRASTRUCTURE,0.733,KA-CENTRAL,0.7,0.72,0.676,5.121
V0153,V0342,4,36,39,0.562,7.123,0.0020815675197317094,2.682,WATER_INFRASTRUCTURE,0.575,KA-NORTH,0.7,0.625,0.719,5.12
V0395,V0469,3,26,31,0.322,9.305,0.003701983931129551,2.432,MEDICAL_SUPPLIES,1.0,KA-NORTH,1.0,1.0,0.55,5.118
V0076,V0254,3,22,43,0.378,7.928,0.005813609996442439,2.236,BUILDING_CONSTRUCTION,1.0,KA-BENGALURU,0.471,0.788,0.645,5.116
V0024,V0158,5,47,34,0.639,7.822,0.000349737879165592,3.456,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.422,0.769,0.654,5.116
V0218,V0360,4,43,25,0.43,9.302,0.0007386764551482003,3.132,CIVIL_MAINTENANCE,1.0,KA-SOUTH,1.0,1.0,0.55,5.116
V0027,V0241,3,32,34,0.435,6.893,0.0087105809307619,2.06,ELECTRICAL_EQUIPMENT,0.696,KA-NORTH,0.391,0.574,0.742,5.113
V0135,V0274,3,24,37,0.355,8.446,0.004877857542126124,2.312,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.692,0.877,0.605,5.113
V0172,V0368,7,48,50,0.96,7.292,3.278801806213697e-05,4.484,ROAD_CONSTRUCTION,0.529,KA-CENTRAL,0.868,0.665,0.701,5.111
V0043,V0511,3,51,18,0.367,8.17,0.005259865645743661,2.279,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.583,0.833,0.625,5.106
V0141,V0469,3,28,31,0.347,8.641,0.004586858137539607,2.338,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.773,0.909,0.591,5.106
V0150,V0370,3,26,37,0.385,7.796,0.006139768886737824,2.212,BUILDING_CONSTRUCTION,1.0,KA-BENGALURU,0.417,0.767,0.655,5.106
V0215,V0396,7,51,51,1.04,6.728,5.619812604482162e-05,4.25,ELECTRICAL_EQUIPMENT,0.634,KA-CENTRAL,0.39,0.537,0.759,5.103
V0292,V0327,4,27,51,0.551,7.262,0.0019075142848383807,2.72,FURNITURE,0.758,KA-NORTH,0.515,0.661,0.703,5.103
V0172,V0427,3,48,19,0.365,8.224,0.005187989526345451,2.285,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.609,0.843,0.62,5.102
V0034,V0062,7,53,40,0.848,8.255,1.3975219671218572e-05,4.855,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.622,0.849,0.618,5.102
V0144,V0152,6,68,25,0.68,8.824,3.821297461113083e-05,4.418,IT_SERVICES,1.0,KA-CENTRAL,0.848,0.939,0.577,5.095
V0230,V0422,3,41,27,0.443,6.775,0.00911464564506936,2.04,CIVIL_MAINTENANCE,0.68,KA-SOUTH,0.36,0.552,0.752,5.092
V0127,V0276,5,43,41,0.705,7.09,0.0005621010966915574,3.25,FURNITURE,0.763,KA-SOUTH,0.421,0.626,0.718,5.092
V0113,V0392,5,46,33,0.607,8.235,0.00027291277661905356,3.564,IT_SERVICES,1.0,KA-NORTH,0.621,0.848,0.618,5.092
V0209,V0270,3,36,27,0.389,7.716,0.006328302677942122,2.199,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.391,0.757,0.66,5.089
V0080,V0495,4,39,36,0.562,7.123,0.0020815675197317094,2.682,ELECTRICAL_EQUIPMENT,0.565,KA-CENTRAL,0.739,0.635,0.714,5.088
V0335,V0390,3,38,23,0.35,8.581,0.004653370334567269,2.332,VEHICLE_SUPPLIES,1.0,TN-NORTH,0.762,0.905,0.593,5.087
V0133,V0366,3,37,30,0.444,6.757,0.009205507533659053,2.036,WATER_INFRASTRUCTURE,0.65,KA-BENGALURU,0.4,0.55,0.752,5.085
V0062,V0079,4,40,30,0.48,8.333,0.0011414420101708022,2.943,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.667,0.867,0.61,5.083
V0072,V0372,3,58,14,0.325,9.236,0.0035978546860770087,2.444,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,5.08
V0027,V0338,5,32,45,0.576,8.681,0.000211161713114458,3.675,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.806,0.922,0.585,5.078
V0005,V0294,3,31,32,0.397,7.56,0.006715624329908956,2.173,VEHICLE_SUPPLIES,0.75,KA-CENTRAL,0.7,0.73,0.672,5.077
V0212,V0530,4,42,29,0.487,8.21,0.0012061159566469158,2.919,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.621,0.848,0.618,5.076
V0355,V0439,4,69,19,0.524,7.628,0.0015067910523691448,2.822,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.36,0.744,0.665,5.074
V0132,V0301,6,58,36,0.835,7.184,0.0001362202213317634,3.866,FURNITURE,0.773,KA-NORTH,0.477,0.655,0.705,5.068
V0380,V0488,3,28,36,0.403,7.44,0.007018079283008273,2.154,VEHICLE_SUPPLIES,0.727,KA-CENTRAL,0.682,0.709,0.681,5.066
V0061,V0509,5,37,42,0.622,8.044,0.0003073435374979968,3.512,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.559,0.824,0.629,5.063
V0436,V0464,3,28,33,0.37,8.117,0.00548468261548233,2.261,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.591,0.836,0.624,5.062
V0120,V0368,6,44,50,0.88,6.818,0.0001864896051972546,3.729,ROAD_CONSTRUCTION,0.596,KA-CENTRAL,0.538,0.573,0.742,5.06
V0078,V0415,3,36,29,0.418,7.184,0.007750999122334535,2.111,WATER_INFRASTRUCTURE,0.706,KA-SOUTH,0.588,0.659,0.704,5.054
V0039,V0468,5,56,26,0.582,8.585,0.00021623650288690922,3.665,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.788,0.915,0.588,5.05
V0040,V0367,3,35,26,0.364,8.242,0.005243601986594121,2.28,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.652,0.861,0.613,5.049
V0178,V0344,5,49,38,0.745,6.713,0.0007250466884274054,3.14,ELECTRICAL_EQUIPMENT,0.595,KA-CENTRAL,0.486,0.551,0.752,5.047
V0185,V0547,3,19,48,0.365,8.224,0.005187989526345451,2.285,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,0.647,0.859,0.614,5.046
V0113,V0459,3,46,21,0.386,7.764,0.006149676233259793,2.211,IT_SERVICES,1.0,KA-NORTH,0.45,0.78,0.649,5.039
V0135,V0322,3,24,40,0.384,7.812,0.0060863406985948295,2.216,BUILDING_CONSTRUCTION,1.0,KA-BENGALURU,0.474,0.789,0.645,5.037
V0403,V0502,5,34,53,0.721,6.937,0.0006170997749499383,3.21,ELECTRICAL_EQUIPMENT,0.535,KA-NORTH,0.721,0.609,0.726,5.035
V0363,V0541,3,45,20,0.36,8.333,0.005016781019859728,2.3,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.7,0.88,0.604,5.033
V0062,V0434,5,40,38,0.608,8.224,0.0002764389668413029,3.558,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.656,0.862,0.612,5.032
V0352,V0468,3,38,26,0.395,7.591,0.006620242349184571,2.179,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.375,0.75,0.662,5.029
V0426,V0516,4,40,32,0.512,7.812,0.001463561307229272,2.835,WATER_INFRASTRUCTURE,0.792,KA-CENTRAL,0.792,0.792,0.644,5.029
V0123,V0284,3,45,20,0.36,8.333,0.005016781019859728,2.3,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.704,0.881,0.603,5.028
V0019,V0426,3,23,40,0.368,8.152,0.005384844251757044,2.269,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,0.632,0.853,0.616,5.024
V0065,V0245,3,26,38,0.395,7.591,0.006620242349184571,2.179,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.381,0.752,0.661,5.021
V0041,V0113,6,39,46,0.718,8.361,5.7400414979791394e-05,4.241,LAB_EQUIPMENT,1.0,KA-NORTH,0.721,0.888,0.6,5.019
V0064,V0091,8,40,74,1.184,6.757,1.4443350561940662e-05,4.84,ROAD_CONSTRUCTION,0.554,KA-NORTH,0.6,0.572,0.742,5.017
V0082,V0122,3,32,36,0.461,6.51,0.01021470456987748,1.991,BUILDING_CONSTRUCTION,0.55,KA-CENTRAL,0.45,0.51,0.77,5.016
V0187,V0402,3,34,29,0.394,7.606,0.0065979872432765175,2.181,CIVIL_MAINTENANCE,1.0,AP-SOUTH,0.394,0.758,0.659,5.013
V0034,V0302,4,53,24,0.509,7.862,0.0013977815111480688,2.855,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.516,0.806,0.637,5.009
V0228,V0294,3,34,32,0.435,6.893,0.0087105809307619,2.06,CIVIL_MAINTENANCE,0.609,KA-CENTRAL,0.609,0.609,0.726,5.005
V0215,V0338,6,51,45,0.918,6.536,0.00023695687198532655,3.625,ELECTRICAL_EQUIPMENT,0.605,KA-SOUTH,0.395,0.521,0.766,5.004
V0349,V0394,4,29,41,0.476,8.41,0.0011000555709364049,2.959,ELECTRICAL_EQUIPMENT,1.0,AP-SOUTH,0.75,0.9,0.595,5.004
V0043,V0487,3,51,18,0.367,8.17,0.005259865645743661,2.279,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.654,0.862,0.612,5.003
V0215,V0308,6,51,41,0.836,7.174,0.00013922375276034535,3.856,IT_SERVICES,0.682,KA-CENTRAL,0.659,0.673,0.697,5.002
V0019,V0320,3,23,40,0.368,8.152,0.005384844251757044,2.269,WATER_INFRASTRUCTURE,1.0,KA-SOUTH,0.647,0.859,0.614,5.001
V0219,V0244,7,45,50,0.9,7.778,2.115506012421507e-05,4.675,FURNITURE,1.0,KA-SOUTH,0.484,0.794,0.643,5.0
V0368,V0387,5,50,35,0.7,7.143,0.0005391418992003001,3.268,ROAD_CONSTRUCTION,0.769,KA-CENTRAL,0.513,0.667,0.7,5.0
V0014,V0352,5,46,38,0.699,7.151,0.0005388184949986608,3.269,FURNITURE,0.707,KA-SOUTH,0.61,0.668,0.699,5.0
V0187,V0483,5,34,55,0.748,6.684,0.0007336245079639726,3.135,WATER_INFRASTRUCTURE,0.608,KA-NORTH,0.49,0.561,0.748,4.997
V0188,V0301,5,43,36,0.619,8.075,0.0003013888356258895,3.521,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.618,0.847,0.619,4.997
V0319,V0523,3,34,34,0.462,6.488,0.01031603623871547,1.986,FURNITURE,0.556,TN-NORTH,0.444,0.511,0.77,4.996
V0066,V0254,7,53,43,0.912,7.679,2.3001012840690044e-05,4.638,FURNITURE,0.824,KA-SOUTH,0.706,0.776,0.651,4.996
V0126,V0304,4,30,44,0.528,7.576,0.0016397616936348594,2.785,WATER_INFRASTRUCTURE,0.757,KA-SOUTH,0.757,0.757,0.659,4.996
V0024,V0187,5,47,34,0.639,7.822,0.000349737879165592,3.456,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.511,0.804,0.638,4.99
V0027,V0414,3,32,31,0.397,7.56,0.006715624329908956,2.173,ELECTRICAL_EQUIPMENT,0.778,KA-NORTH,0.722,0.756,0.66,4.99
V0254,V0370,5,43,37,0.636,7.857,0.0003440641990426589,3.463,FURNITURE,0.778,KA-BENGALURU,0.861,0.811,0.635,4.989
V0259,V0291,4,39,38,0.593,6.748,0.002550573878655151,2.593,IT_SERVICES,0.567,KA-BENGALURU,0.6,0.58,0.739,4.987
V0133,V0410,3,37,30,0.444,6.757,0.009205507533659053,2.036,WATER_INFRASTRUCTURE,0.565,KA-NORTH,0.609,0.583,0.738,4.985
V0130,V0161,3,27,34,0.367,8.17,0.0053805644381158335,2.269,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.667,0.867,0.61,4.984
V0212,V0478,4,42,30,0.504,7.937,0.0013748095184906773,2.862,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.567,0.827,0.628,4.984
V0224,V0386,3,42,22,0.37,8.117,0.0054389515942154625,2.264,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.645,0.858,0.614,4.983
V0291,V0396,5,38,51,0.775,6.45,0.0008735924591005435,3.059,IT_SERVICES,0.588,KA-CENTRAL,0.382,0.506,0.772,4.982
V0040,V0392,3,35,33,0.462,6.494,0.010290648775606825,1.988,IT_SERVICES,0.591,AP-SOUTH,0.409,0.518,0.767,4.98
V0066,V0280,5,53,36,0.763,6.551,0.0008095979147856984,3.092,BUILDING_CONSTRUCTION,0.533,KA-CENTRAL,0.533,0.533,0.76,4.979
V0391,V0464,3,29,33,0.383,7.837,0.006062835060852044,2.217,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.526,0.811,0.635,4.979
V0198,V0363,3,21,45,0.378,7.937,0.005779780619217766,2.238,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.571,0.829,0.627,4.978
V0019,V0359,3,23,40,0.368,8.152,0.005384844251757044,2.269,WATER_INFRASTRUCTURE,1.0,KA-SOUTH,0.667,0.867,0.61,4.973
V0367,V0495,3,26,36,0.374,8.013,0.00568098272335477,2.246,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.609,0.843,0.62,4.972
V0054,V0426,4,33,40,0.528,7.576,0.0016463114913041743,2.783,ROAD_CONSTRUCTION,0.607,KA-CENTRAL,1.0,0.764,0.656,4.97
V0390,V0485,3,23,42,0.386,7.764,0.0061822206439926305,2.209,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.5,0.8,0.64,4.969
V0033,V0307,4,25,50,0.5,8.0,0.0013147249453923713,2.881,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.607,0.843,0.621,4.966
V0127,V0274,4,43,37,0.636,6.285,0.0033192366796717474,2.479,BUILDING_CONSTRUCTION,0.515,KA-NORTH,0.394,0.467,0.79,4.965
V0309,V0411,3,56,17,0.381,7.878,0.005795425968519856,2.237,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.556,0.822,0.63,4.963
V0322,V0327,6,40,51,0.816,7.353,0.00012071649769369862,3.918,FURNITURE,0.837,KA-NORTH,0.551,0.722,0.675,4.963
V0059,V0468,3,32,26,0.333,9.014,0.004056855125406789,2.392,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,4.958
V0488,V0532,3,36,29,0.418,7.184,0.007750999122334535,2.111,VEHICLE_SUPPLIES,0.778,KA-SOUTH,0.556,0.689,0.69,4.957
V0258,V0291,4,37,38,0.562,7.112,0.0020931711202438158,2.679,IT_SERVICES,0.767,KA-NORTH,0.533,0.673,0.697,4.957
V0120,V0426,5,44,40,0.704,7.102,0.0005573854337474265,3.254,ROAD_CONSTRUCTION,0.595,KA-CENTRAL,0.786,0.671,0.698,4.956
V0391,V0455,4,29,43,0.499,8.019,0.0013191731281456778,2.88,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.625,0.85,0.617,4.952
V0038,V0276,3,25,41,0.41,7.317,0.007331681347936946,2.135,FURNITURE,0.773,KA-CENTRAL,0.636,0.718,0.677,4.952
V0115,V0419,3,16,56,0.358,8.371,0.004849102153428105,2.314,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.769,0.908,0.592,4.952
V0081,V0133,3,25,37,0.37,8.108,0.005486880885000402,2.261,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.667,0.867,0.61,4.946
V0293,V0383,4,41,36,0.59,6.775,0.0025108194109884395,2.6,ELECTRICAL_EQUIPMENT,0.76,KA-NORTH,0.36,0.6,0.73,4.946
V0035,V0344,3,24,38,0.365,8.224,0.00526269275508416,2.279,IT_SERVICES,1.0,KA-SOUTH,0.714,0.886,0.601,4.946
V0402,V0533,3,29,37,0.429,6.99,0.008369540213817125,2.077,VEHICLE_SUPPLIES,0.607,KA-CENTRAL,0.714,0.65,0.708,4.945
V0472,V0532,3,37,29,0.429,6.99,0.008369540213817125,2.077,VEHICLE_SUPPLIES,0.65,KA-SOUTH,0.65,0.65,0.708,4.945
V0219,V0322,5,45,40,0.72,6.944,0.0006197335636830214,3.208,FURNITURE,0.7,KA-SOUTH,0.55,0.64,0.712,4.944
V0043,V0130,4,51,27,0.551,7.262,0.0019075142848383807,2.72,ROAD_CONSTRUCTION,0.8,KA-NORTH,0.575,0.71,0.68,4.942
V0132,V0219,8,58,45,1.044,7.663,5.6647484183068684e-06,5.247,FURNITURE,0.883,KA-CENTRAL,0.65,0.79,0.645,4.939
V0072,V0357,3,58,17,0.394,7.606,0.006396858433811262,2.194,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.448,0.779,0.649,4.939
V0169,V0489,3,35,27,0.378,7.937,0.005842812712001607,2.233,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.6,0.84,0.622,4.937
V0228,V0391,3,34,29,0.394,7.606,0.0065979872432765175,2.181,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.45,0.78,0.649,4.936
V0029,V0062,4,33,40,0.528,7.576,0.0016463114913041743,2.783,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.438,0.775,0.651,4.934
V0310,V0327,5,35,51,0.714,7.003,0.0005917458167795039,3.228,FURNITURE,0.718,KA-BENGALURU,0.564,0.656,0.705,4.934
V0129,V0367,4,47,26,0.489,8.183,0.0012112179885953342,2.917,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.71,0.884,0.602,4.928
V0065,V0091,6,26,74,0.77,7.796,7.891314111237102e-05,4.103,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.544,0.818,0.632,4.928
V0129,V0214,3,47,20,0.376,7.979,0.005674405451699682,2.246,IT_SERVICES,1.0,KA-SOUTH,0.625,0.85,0.617,4.927
V0176,V0309,3,17,56,0.381,7.878,0.005795425968519856,2.237,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.583,0.833,0.625,4.924
V0289,V0387,3,27,35,0.378,7.937,0.005842812712001607,2.233,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.609,0.843,0.62,4.924
V0123,V0254,5,45,43,0.774,6.46,0.000870844355179657,3.06,BUILDING_CONSTRUCTION,0.594,KA-SOUTH,0.438,0.531,0.761,4.916
V0438,V0455,5,44,43,0.757,6.607,0.0007840144694381874,3.106,WATER_INFRASTRUCTURE,0.538,KA-SOUTH,0.615,0.569,0.744,4.915
V0187,V0289,3,34,27,0.367,8.17,0.0053805644381158335,2.269,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.714,0.886,0.601,4.914
V0011,V0513,6,40,55,0.88,6.818,0.00018535690342822943,3.732,ELECTRICAL_EQUIPMENT,0.729,KA-CENTRAL,0.458,0.621,0.721,4.913
V0303,V0533,3,27,37,0.4,7.508,0.0068373439141937295,2.165,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.421,0.768,0.654,4.912
